Index|Day|Composite AxiomaID|Constituent AxiomaID
0|1|137M4ZH33|128
1|1|144DRUKM4|40
2|1|14JUDRYZ8|496
3|1|14N1R9B87|151
4|1|14WBQZ7K6|93
5|1|151WJ5Q40|159
6|1|162MF96H8|872
7|1|17CYYGPV0|27
8|1|17DXMTSS0|1917
9|1|17JP136W6|19
10|1|17PJ5DQ13|84
11|1|17XU54LB2|68
12|1|1838NV2F4|428
13|1|1987ZYZT4|34
14|1|19J3VQXM9|3452
15|1|1A936JHN7|31
16|1|1AY3C1U97|106
17|1|1C51CHVK8|155
18|1|1D1TZBY32|52
19|1|1DG8N9CG5|61
20|1|1DK6FWPS2|2
21|1|1DYARP3L9|90
22|1|1FZ1NSKY4|425
23|1|1HBBVB685|840
24|1|1HG38LLC6|43
25|1|1HGSD2NB7|506
26|1|1JMBXVKA2|488
27|1|1JNAM7N72|101
28|1|1K5N8HD92|77
29|1|1KY9C4461|46
30|1|1LUDNS4C6|2
31|1|1MNYMFXK5|9
32|1|1N2FM1917|55
33|1|1NB14M698|69
34|1|1NY87VBK4|51
35|1|1PCNVSRX5|82
36|1|1PGLPF381|12
37|1|1PGV7A463|126
38|1|1PR66ZZH4|128
39|1|1PVQZ6H20|71
40|1|1Q5LUXDV4|88
41|1|1S8S3UKQ1|450
42|1|1SCHH3YU1|15
43|1|1SD6ML1T7|601
44|1|1TJS6CXS6|684
45|1|1TKQUR1P9|377
46|1|1U32GZSR3|71
47|1|1UG8XQ394|440
48|1|1UVPLMHN5|76
49|1|1WYUUJNH0|55
50|1|1XH6GTDK8|26
51|1|1YA34A5D9|98
52|1|1YCZWXGQ4|51
53|1|1YT57PVJ6|31
54|1|2266BBY69|527
55|1|229WQMCA4|35
56|1|23G25GAS9|27
57|1|23G6DWB89|616
58|1|23H538F56|297
59|1|23ZGQJ679|68
60|1|24NXU9FY1|657
61|1|26VADPY29|401
62|1|26W9321Y9|62
63|1|27DLQAT10|26
64|1|27KFUNA53|26
65|1|2864W5DK3|105
66|1|287HBTJV4|137
67|1|28KZP1SF0|250
68|1|28QKG78Z2|28
69|1|28ZFAY6T6|57
70|1|2B3LKVBN3|1219
71|1|2B7AY4RS0|34
72|1|2CDKARTM5|457
73|1|2CWVY1KP3|24
74|1|2D6RTSHH8|607
75|1|2FCFACHU8|298
76|1|2FCKKTJA1|252
77|1|2FHLA7XZ2|26
78|1|2FHQKNYG6|24
79|1|2G1BK3R35|49
80|1|2GKMUQL26|1386
81|1|2GSQN7BJ3|401
82|1|2GTPAKFF3|58
83|1|2HAZXU6H8|26
84|1|2HU84XWQ3|12
85|1|2J4WLAXB8|160
86|1|2JHDWK5W7|24
87|1|2JMYPQNG5|83
88|1|2JWUKGL97|224
89|1|2LBYA7HD4|222
90|1|2LGKF1W24|85
91|1|2LM99XCQ8|34
92|1|2LZZTCR43|26
93|1|2M4R6N589|96
94|1|2NAYK9739|61
95|1|2NQKT9K12|160
96|1|2NUA6JY58|30
97|1|2P41SUVH0|46
98|1|2P4629VY7|166
99|1|2Q8MBNSG8|106
100|1|2Q9UJVWA1|238
101|1|2QDZJRBG4|11
102|1|2QF4T6BX9|26
103|1|2QXRSM4K0|161
104|1|2RH237YJ1|1367
105|1|2RQ4VQQZ7|401
106|1|2SJFAJJ85|42
107|1|2SRNCGA66|18
108|1|2SVJUFQD0|2
109|1|2SZYC66H6|434
110|1|2T2ATUAT0|272
111|1|2TDU52KC8|50
112|1|2TKCX81X1|87
113|1|2TU8SYYR5|222
114|1|2U2M4BS53|41
115|1|2UVN19JG3|1629
116|1|2VHV4JPR3|476
117|1|2VJPJFS69|50
118|1|2W25F5JQ1|42
119|1|2WB19WGJ7|44
120|1|2WB5KBGZ5|412
121|1|2X394L2H5|301
122|1|2X8CSSLK4|22
123|1|2XRQF2BM0|1601
124|1|2XS51NCN1|42
125|1|2Z33SJUM0|31
126|1|2Z78SD9S9|112
127|1|2ZBDS8QX4|103
128|1|2ZBK1PRD2|31
129|1|2ZV614J13|41
130|1|31DGARBZ7|504
131|1|31MK484G7|226
132|1|31NHSL7C4|113
133|1|32P2LYPN8|11
134|1|32SY2Y3V2|1448
135|1|32YR2BQ94|219
136|1|33GT5RFD3|86
137|1|33H3HWFY9|1401
138|1|33RP1HC71|55
139|1|33Z1BV5M8|314
140|1|33ZZ178J1|1214
141|1|34JVJJ232|9
142|1|34T28SWX8|1629
143|1|35YKNNX61|60
144|1|368KSUVG7|371
145|1|36C1N88N9|845
146|1|37P4NKR33|504
147|1|37TUJG7R4|1381
148|1|382LN52K0|41
149|1|394NZWP82|127
150|1|39CYZMKK9|31
151|1|39SL8MWH4|40
